 ,OTT Name,Study ID,url
No.452,Pteruthius aeralatus,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.453,Pteruthius flaviscapis aeralatus,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.454,Pteruthius flaviscapis aeralatus,ot_2013,https://tree.opentreeoflife.org/curator/study/view/ot_2013
No.455,Pteruthius flaviscapis aeralatus,ot_2158,https://tree.opentreeoflife.org/curator/study/view/ot_2158
No.456,Pteruthius flaviscapis aeralatus,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.457,Pteruthius annamensis,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.458,Pteruthius flaviscapis annamensis,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.459,Pteruthius aenobarbus,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.460,Pteruthius aenobarbus,ot_520,https://tree.opentreeoflife.org/curator/study/view/ot_520
No.461,Pteruthius aenobarbus,ot_2158,https://tree.opentreeoflife.org/curator/study/view/ot_2158
No.462,Pteruthius aenobarbus,pg_438,https://tree.opentreeoflife.org/curator/study/view/pg_438
No.463,Pteruthius aenobarbus,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.464,Pteruthius aenobarbus,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.465,Pteruthius aenobarbus,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.466,Pteruthius aenobarbus,ot_824,https://tree.opentreeoflife.org/curator/study/view/ot_824
No.467,Pteruthius aenobarbus aenobarbus,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.468,Pteruthius intermedius,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.469,Pteruthius aenobarbus intermedius,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.470,Pachycephala caledonica,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.471,Pachycephala caledonica,ot_520,https://tree.opentreeoflife.org/curator/study/view/ot_520
No.472,Pachycephala caledonica,ot_2158,https://tree.opentreeoflife.org/curator/study/view/ot_2158
No.473,Pachycephala caledonica,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.474,Pachycephala caledonica,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.475,Pachycephala caledonica,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.476,Pachycephala vanikorensis,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.477,Pachycephala caledonica vanikorensis,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.478,Laniarius sublacteus,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.479,Laniarius ferrugineus sublacteus,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.480,Laniarius ferrugineus sublacteus,ot_520,https://tree.opentreeoflife.org/curator/study/view/ot_520
No.481,Laniarius holomelas,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.482,Laniarius poensis holomelas,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.483,Dicrurus sharpei,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.484,Dicrurus ludwigii sharpei,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.485,Dicrurus ludwigii,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.486,Dicrurus ludwigii,ot_520,https://tree.opentreeoflife.org/curator/study/view/ot_520
No.487,Dicrurus ludwigii,ot_2158,https://tree.opentreeoflife.org/curator/study/view/ot_2158
No.488,Dicrurus ludwigii,ot_429,https://tree.opentreeoflife.org/curator/study/view/ot_429
No.489,Dicrurus ludwigii,pg_438,https://tree.opentreeoflife.org/curator/study/view/pg_438
No.490,Dicrurus ludwigii,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.491,Dicrurus ludwigii,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.492,Dicrurus ludwigii,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.493,Dicrurus ludwigii,ot_427,https://tree.opentreeoflife.org/curator/study/view/ot_427
No.494,Dicrurus ludwigii ludwigii,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.495,Dicrurus adsimilis,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.496,Dicrurus adsimilis,ot_520,https://tree.opentreeoflife.org/curator/study/view/ot_520
No.497,Dicrurus adsimilis,ot_836,https://tree.opentreeoflife.org/curator/study/view/ot_836
No.498,Dicrurus adsimilis,ot_2158,https://tree.opentreeoflife.org/curator/study/view/ot_2158
No.499,Dicrurus adsimilis,ot_782,https://tree.opentreeoflife.org/curator/study/view/ot_782
No.500,Dicrurus adsimilis,ot_429,https://tree.opentreeoflife.org/curator/study/view/ot_429
No.501,Dicrurus adsimilis,pg_438,https://tree.opentreeoflife.org/curator/study/view/pg_438
No.502,Dicrurus adsimilis,ot_531,https://tree.opentreeoflife.org/curator/study/view/ot_531
No.503,Dicrurus adsimilis,pg_2404,https://tree.opentreeoflife.org/curator/study/view/pg_2404
No.504,Dicrurus adsimilis,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.505,Dicrurus adsimilis,ot_757,https://tree.opentreeoflife.org/curator/study/view/ot_757
No.506,Dicrurus adsimilis,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.507,Dicrurus adsimilis,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.508,Dicrurus adsimilis,ot_427,https://tree.opentreeoflife.org/curator/study/view/ot_427
No.509,Dicrurus adsimilis adsimilis,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.510,Dicrurus divaricatus,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.511,Dicrurus adsimilis divaricatus,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.512,Chasiempis sandwichensis,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.513,Chasiempis sandwichensis,ot_290,https://tree.opentreeoflife.org/curator/study/view/ot_290
No.514,Chasiempis sandwichensis,ot_520,https://tree.opentreeoflife.org/curator/study/view/ot_520
No.515,Chasiempis sandwichensis,ot_2158,https://tree.opentreeoflife.org/curator/study/view/ot_2158
No.516,Chasiempis sandwichensis,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.517,Chasiempis sandwichensis,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.518,Chasiempis sandwichensis,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.519,Chasiempis sandwichensis sandwichensis,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.520,Chasiempis ibidis,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.521,Chasiempis sandwichensis ibidis,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.522,Chasiempis sandwichensis ibidis,ot_2158,https://tree.opentreeoflife.org/curator/study/view/ot_2158
No.523,Pomarea fluxa,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.524,Pomarea iphis fluxa,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.525,Pomarea iphis fluxa,ot_2158,https://tree.opentreeoflife.org/curator/study/view/ot_2158
No.526,Pomarea nukuhivae,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.527,Pomarea mendozae nukuhivae,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.528,Pomarea mendozae nukuhivae,ot_2158,https://tree.opentreeoflife.org/curator/study/view/ot_2158
No.529,Pomarea iphis,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.530,Pomarea iphis,ot_520,https://tree.opentreeoflife.org/curator/study/view/ot_520
No.531,Pomarea iphis,ot_2158,https://tree.opentreeoflife.org/curator/study/view/ot_2158
No.532,Pomarea iphis,ot_429,https://tree.opentreeoflife.org/curator/study/view/ot_429
No.533,Pomarea iphis,pg_438,https://tree.opentreeoflife.org/curator/study/view/pg_438
No.534,Pomarea iphis,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.535,Pomarea iphis,pg_2913,https://tree.opentreeoflife.org/curator/study/view/pg_2913
No.536,Pomarea iphis,ot_290,https://tree.opentreeoflife.org/curator/study/view/ot_290
No.537,Pomarea iphis,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.538,Pomarea iphis,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.539,Pomarea mira,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.540,Pomarea mendozae mira,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.541,Pomarea mendozae mira,ot_2158,https://tree.opentreeoflife.org/curator/study/view/ot_2158
No.542,Pomarea mendozae,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.543,Pomarea mendozae,ot_520,https://tree.opentreeoflife.org/curator/study/view/ot_520
No.544,Pomarea mendozae,ot_2158,https://tree.opentreeoflife.org/curator/study/view/ot_2158
No.545,Pomarea mendozae,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.546,Pomarea mendozae,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.547,Pomarea mendozae,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.548,Lanius sphenocercus,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.549,Lanius sphenocercus,ot_520,https://tree.opentreeoflife.org/curator/study/view/ot_520
No.550,Lanius sphenocercus,ot_2158,https://tree.opentreeoflife.org/curator/study/view/ot_2158
No.551,Lanius sphenocercus,pg_438,https://tree.opentreeoflife.org/curator/study/view/pg_438
No.552,Lanius sphenocercus,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.553,Lanius sphenocercus,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.554,Lanius sphenocercus,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.555,Lanius giganteus,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.556,Lanius sphenocercus giganteus,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.557,Pica mauritanica,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.558,Pica pica mauritanica,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.559,Pica serica,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.560,Pica pica sericea,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.561,Pica pica,ot_2008,https://tree.opentreeoflife.org/curator/study/view/ot_2008
No.562,Pica pica,pg_2419,https://tree.opentreeoflife.org/curator/study/view/pg_2419
No.563,Pica pica,ot_520,https://tree.opentreeoflife.org/curator/study/view/ot_520
No.564,Pica pica,ot_412,https://tree.opentreeoflife.org/curator/study/view/ot_412
No.565,Pica pica,ot_2158,https://tree.opentreeoflife.org/curator/study/view/ot_2158
No.566,Pica pica,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.567,Pica pica,pg_2913,https://tree.opentreeoflife.org/curator/study/view/pg_2913
No.568,Pica pica,ot_290,https://tree.opentreeoflife.org/curator/study/view/ot_290
No.569,Pica pica,ot_2025,https://tree.opentreeoflife.org/curator/study/view/ot_2025
No.570,Pica pica,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.571,Pica pica,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.572,Pica pica,ot_841,https://tree.opentreeoflife.org/curator/study/view/ot_841
No.573,Pica pica,ot_532,https://tree.opentreeoflife.org/curator/study/view/ot_532
No.574,Pica pica,ot_429,https://tree.opentreeoflife.org/curator/study/view/ot_429
No.575,Pica pica,ot_1789,https://tree.opentreeoflife.org/curator/study/view/ot_1789
No.576,Pica pica,pg_2015,https://tree.opentreeoflife.org/curator/study/view/pg_2015
No.577,Pica pica,pg_438,https://tree.opentreeoflife.org/curator/study/view/pg_438
No.578,Pica pica,ot_842,https://tree.opentreeoflife.org/curator/study/view/ot_842
No.579,Pica pica,ot_863,https://tree.opentreeoflife.org/curator/study/view/ot_863
No.580,Pica pica,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.581,Pica pica,ot_427,https://tree.opentreeoflife.org/curator/study/view/ot_427
No.582,Pica pica,ot_1195,https://tree.opentreeoflife.org/curator/study/view/ot_1195
No.583,Calandrella blanfordi,ot_2125,https://tree.opentreeoflife.org/curator/study/view/ot_2125
No.584,Calandrella blanfordi,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.585,Calandrella blanfordi,ot_2230,https://tree.opentreeoflife.org/curator/study/view/ot_2230
No.586,Calandrella eremica,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.587,Calandrella blanfordi eremica,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.588,Calandrella brachydactyla,ot_500,https://tree.opentreeoflife.org/curator/study/view/ot_500
No.589,Calandrella brachydactyla,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.590,Calandrella brachydactyla,ot_2008,https://tree.opentreeoflife.org/curator/study/view/ot_2008
No.591,Calandrella brachydactyla,ot_2230,https://tree.opentreeoflife.org/curator/study/view/ot_2230
No.592,Calandrella brachydactyla,pg_2599,https://tree.opentreeoflife.org/curator/study/view/pg_2599
No.593,Calandrella brachydactyla,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.594,Calandrella brachydactyla,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.595,Calandrella brachydactyla,ot_2018,https://tree.opentreeoflife.org/curator/study/view/ot_2018
No.596,Calandrella brachydactyla,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.597,Calandrella brachydactyla,ot_2125,https://tree.opentreeoflife.org/curator/study/view/ot_2125
No.598,Calandrella brachydactyla,pg_2419,https://tree.opentreeoflife.org/curator/study/view/pg_2419
No.599,Calandrella dukhunensis,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.600,Calandrella brachydactyla dukhunensis,ot_2125,https://tree.opentreeoflife.org/curator/study/view/ot_2125
No.601,Calandrella brachydactyla dukhunensis,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.602,Eremalauda dunni,ot_2125,https://tree.opentreeoflife.org/curator/study/view/ot_2125
No.603,Eremalauda dunni,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.604,Eremalauda dunni,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.605,Eremalauda dunni,ot_2230,https://tree.opentreeoflife.org/curator/study/view/ot_2230
No.606,Eremalauda dunni,pg_2599,https://tree.opentreeoflife.org/curator/study/view/pg_2599
No.607,Eremalauda dunni,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.608,Eremalauda dunni,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.609,Eremalauda dunni dunni,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.610,Eremalauda eremodites,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.611,Eremalauda dunni eremodites,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.612,Prinia crinigera,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.613,Prinia crinigera,pg_438,https://tree.opentreeoflife.org/curator/study/view/pg_438
No.614,Prinia crinigera,ot_2192,https://tree.opentreeoflife.org/curator/study/view/ot_2192
No.615,Prinia crinigera,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.616,Prinia crinigera,pg_2913,https://tree.opentreeoflife.org/curator/study/view/pg_2913
No.617,Prinia crinigera,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.618,Prinia crinigera,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.619,Prinia striata,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.620,Prinia crinigera striata,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.621,Prinia crinigera striata,ot_2192,https://tree.opentreeoflife.org/curator/study/view/ot_2192
No.622,Prinia cooki,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.623,Prinia polychroa cooki,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.624,Prinia polychroa cooki,ot_2192,https://tree.opentreeoflife.org/curator/study/view/ot_2192
No.625,Prinia rocki,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.626,Prinia polychroa rocki,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.627,Prinia polychroa rocki,ot_2192,https://tree.opentreeoflife.org/curator/study/view/ot_2192
No.628,Prinia polychroa,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.629,Prinia polychroa,ot_2192,https://tree.opentreeoflife.org/curator/study/view/ot_2192
No.630,Prinia polychroa,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.631,Acrocephalus luscinius,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.632,Acrocephalus luscinius,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.633,Acrocephalus nijoi,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.634,Acrocephalus luscinius nijoi,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.635,Acrocephalus astrolabii,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.636,Acrocephalus luscinius astrolabii,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.637,Zosterops flavilateralis,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.638,Zosterops abyssinicus flavilateralis,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.639,Zosterops mbuluensis,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.640,Zosterops poliogastrus mbuluensis,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.641,Zosterops abyssinicus,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.642,Zosterops abyssinicus,ot_2179,https://tree.opentreeoflife.org/curator/study/view/ot_2179
No.643,Zosterops abyssinicus,pg_438,https://tree.opentreeoflife.org/curator/study/view/pg_438
No.644,Zosterops abyssinicus,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.645,Zosterops abyssinicus,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.646,Zosterops abyssinicus,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.647,Zosterops abyssinicus abyssinicus,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
